agencyid,agency,logcapZscore,region,countyfips5,totalDeclaration,declarationProb,Success Rate,DisasterProb,state,statefull,FTARegion,ewfreq,ewprob,ewbiggerthanDisaster,declarationRate,ewThreshold,disasterThreshold,expectedBadWeatherSeverity
5096,City of Waukesha Transit Commission,-0.893377488,midwest,55133,6,0.026315789,0.7,0.037593984,WI,Wisconsin,FTA Region5,7,0.12,TRUE,0.018421052,5.286226205,5.451168257,4.758127347
9003,San Francisco Bay Area Rapid Transit District,1.970242279,west,6001,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,7,0.067,TRUE,0.018421052,5.27788647,5.332996462,4.888614155
9171,Santa Clarita Transit,-0.307757119,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,7,0.067,TRUE,0.018421052,5.293692832,5.392059199,4.368229578
9035,Gold Coast Transit,-0.453111128,west,6111,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,6,0.067,TRUE,0.012280702,5.271294961,5.343498592,4.422361855
9205,City of Elk Grove,-0.924289441,west,6067,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,6,0.067,TRUE,0.015350877,5.285128775,5.396680582,4.607159928
9144,Livermore / Amador Valley Transit Authority,-0.609953442,west,6001,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,6,0.067,TRUE,0.018421052,5.286447598,5.388015296,4.856093825
9146,Foothill Transit,0.430349712,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,6,0.067,TRUE,0.018421052,5.275300547,5.358650761,4.560338687
4046,Sarasota County Area Transit,-0.293483515,south,12115,15,0.065789474,0.7,0.093984963,FL,Florida,FTA Region4,6,0.107,TRUE,0.046052632,5.284112318,5.346312703,4.422019987
9026,San Diego Metropolitan Transit System,1.293245815,west,6073,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,5,0.067,TRUE,0.018421052,5.288466765,5.35332531,4.932965396
9030,North County Transit District,0.586243821,west,6073,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,5,0.067,TRUE,0.018421052,5.284852202,5.355411641,4.991191897
5008,Milwaukee County Transit System,1.001819897,midwest,55079,8,0.035087719,0.7,0.050125313,WI,Wisconsin,FTA Region5,5,0.12,TRUE,0.024561403,5.286477954,5.474184168,5.256724678
9078,Central Contra Costa Transit Authority,-0.056138568,west,6013,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,4,0.067,TRUE,0.015350877,5.282615978,5.371391779,4.63320622
9004,Golden Empire Transit District,-0.194003115,west,6029,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,4,0.067,TRUE,0.018421052,5.282338751,5.364009578,5.028132959
9008,Santa Monica's Big Blue Bus,0.440444067,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,4,0.067,TRUE,0.018421052,5.286051252,5.351113979,4.784229428
9148,Victor Valley Transit Authority,-0.637437211,west,6071,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,4,0.067,TRUE,0.018421052,5.276612906,5.345565196,4.813448753
4032,"County of Volusia, dba: VOTRAN",-0.380372258,south,12127,15,0.065789474,0.7,0.093984963,FL,Florida,FTA Region4,4,0.107,TRUE,0.046052632,5.295574987,5.377828856,5.16980683
9061,Yuba-Sutter Transit Authority,-1.16010371,west,6115,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,3,0.067,TRUE,0.012280702,5.279665648,5.40368712,4.950297913
9036,Orange County Transportation Authority,1.388811283,west,6059,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,3,0.067,TRUE,0.015350877,5.288891021,5.379525187,4.649116772
9014,Alameda-Contra Costa Transit District,1.544879528,west,6001,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,3,0.067,TRUE,0.018421052,5.272772787,5.363772856,4.38852538
9039,Culver City Municipal Bus Lines,-0.333612285,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,3,0.067,TRUE,0.018421052,5.285356677,5.349925762,5.14886649
4035,Central Florida Regional Transportation Authority,0.84940236,south,12095,12,0.052631579,0.7,0.07518797,FL,Florida,FTA Region4,3,0.107,TRUE,0.036842105,5.289634343,5.366334218,4.931285052
9091,City of Visalia - Visalia City Coach,-0.942368487,west,6107,3,0.013157895,0.7,0.018796993,CA,California,FTA Region9,2,0.067,TRUE,0.009210526,5.292740598,5.393469964,4.41596391
9019,Sacramento Regional Transit District,0.967301238,west,6067,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,2,0.067,TRUE,0.015350877,5.291931383,5.400922003,4.941466476
9159,Western Contra Costa Transit Authority,-0.899844713,west,6013,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,2,0.067,TRUE,0.015350877,5.292009815,5.387701632,4.560588457
9206,San Luis Obispo Regional Transit Authority,-0.887497066,west,6079,7,0.030701754,0.7,0.043859649,CA,California,FTA Region9,2,0.067,TRUE,0.021491228,5.283875734,5.368817764,4.843288038
4040,Jacksonville Transportation Authority,0.616221016,south,12031,13,0.057017544,0.7,0.081453634,FL,Florida,FTA Region4,2,0.107,TRUE,0.039912281,5.284888486,5.373527302,5.08998053
4036,City of Tallahassee,-0.485188952,south,12073,15,0.065789474,0.7,0.093984963,FL,Florida,FTA Region4,2,0.107,TRUE,0.046052632,5.296002297,5.355962434,4.937470853
9164,Ventura Intercity Service Transit Authority,-0.908384867,west,6111,4,0.01754386,0.7,0.025062657,CA,California,FTA Region9,0,0.067,TRUE,0.012280702,5.290189258,5.407017404,4.767113752
9017,City of Santa Rosa,-0.727345244,west,6097,5,0.021929825,0.7,0.031328321,CA,California,FTA Region9,0,0.067,TRUE,0.015350877,5.286058355,5.374970194,5.013048661
9154,Los Angeles County Metropolitan Transportation Authority dba: Metro,2.551389826,west,6037,6,0.026315789,0.7,0.037593984,CA,California,FTA Region9,0,0.067,TRUE,0.018421052,5.287433649,5.361251578,4.281781537
5032,Mass Transportation Authority,-0.057776454,midwest,26049,3,0.013157895,0.72,0.018274854,MI,Michigan,FTA Region5,17,0.12,TRUE,0.009473684,5.28280056,5.549075588,5.07689849
5031,Suburban Mobility Authority for Regional Transportation,0.761663794,midwest,26163,4,0.01754386,0.72,0.024366472,MI,Michigan,FTA Region5,17,0.12,TRUE,0.012631579,5.29572185,5.510139069,4.669371825
5036,Capital Area Transportation Authority,0.138785386,midwest,26065,4,0.01754386,0.72,0.024366472,MI,Michigan,FTA Region5,15,0.12,TRUE,0.012631579,5.293389532,5.480243004,4.930378336
2098,Port Authority Trans-Hudson Corporation,1.615594973,northeast,34017,9,0.039473684,0.72,0.054824561,NJ,New Jersey,FTA Region2,14,0.125,TRUE,0.028421052,5.290417413,5.430473435,4.483438279
4019,Transit Authority of Northern Kentucky,-0.330489479,south,21117,7,0.030701754,0.72,0.042641325,KY,Kentucky,FTA Region4,13,0.107,TRUE,0.022105263,5.301234329,5.444217248,4.631749598
4018,Transit Authority of River City,0.519718522,south,21111,10,0.043859649,0.72,0.060916179,KY,Kentucky,FTA Region4,11,0.107,TRUE,0.031578947,5.279971322,5.385245116,4.875065746
6017,Central Oklahoma Transportation and Parking Authority,-0.234671573,south,40109,20,0.087719298,0.72,0.121832358,OK,Oklahoma,FTA Region6,11,0.107,TRUE,0.063157895,5.293573306,5.334654521,5.03295427
