,agencyid,logcapZscore,region,totalDiasaster,FTARegion,Success Rate,extremeWeatherProb,disasterProb,extremeWeatherThreshold,disasterThreshold,worstWeatherIntensity
169,5033,0.139829371,midwest,4,FTA Region5,0.72,0.107,0.05,5.3927997979999995,5.537929033999999,5.4775471410000005
170,9035,-0.453111128,west,4,FTA Region9,0.7,0.08,0.045,4.953744067,5.050310083,4.999644002
171,0020,-0.058170139,west,4,FTA Region10,0.74,0.08,0.045,4.974127028,5.079672768,5.04130291
172,5141,-0.695513588,midwest,4,FTA Region5,0.72,0.107,0.05,5.37750099,5.523297322,5.441538127
173,9061,-1.16010371,west,4,FTA Region9,0.7,0.08,0.045,4.932525169,5.047828093,4.973724592
174,9164,-0.908384867,west,4,FTA Region9,0.7,0.08,0.045,4.959028928,5.048652691,5.003804555
175,5001,-0.955526874,midwest,3,FTA Region5,0.7,0.107,0.05,5.403626937,5.536241352,5.46193178
176,5032,-0.057776454000000005,midwest,3,FTA Region5,0.72,0.107,0.05,5.394345238,5.53257023,5.481626089
177,6019,0.170543059,west,3,FTA Region6,0.67,0.08,0.045,4.954987566000001,5.071004718,5.017734281
178,5148,-0.792585456,midwest,3,FTA Region5,0.72,0.107,0.05,5.396403801,5.52880457,5.507122594
179,0006,-0.9729416009999999,west,3,FTA Region10,0.74,0.08,0.045,4.9491575889999995,5.036514036,5.002733719
180,9013,1.598735372,west,3,FTA Region9,0.7,0.08,0.045,4.965759766000001,5.057058271,5.017168932
181,6111,-0.020044221,west,3,FTA Region6,0.67,0.08,0.045,4.960848695,5.055059978,5.005291745
182,5040,-0.05657495,midwest,3,FTA Region5,0.72,0.107,0.05,5.3959533120000005,5.540178837999999,5.4576217929999995
183,5060,-0.052918127,midwest,3,FTA Region5,0.69,0.107,0.05,5.3935658360000005,5.521704741000001,5.484396286
184,9091,-0.942368487,west,3,FTA Region9,0.7,0.08,0.045,4.940483742,5.055543757,5.009086293
185,5002,-1.032148647,midwest,2,FTA Region5,0.7,0.107,0.05,5.381652522,5.518566369,5.455991492999999
186,9027,0.21755545,west,2,FTA Region9,0.7,0.08,0.045,4.9522469319999995,5.0511914,5.025531808
187,9033,0.504062491,west,2,FTA Region9,0.74,0.08,0.045,4.960512266,5.073669115,4.976188979
188,5035,-0.629973829,midwest,2,FTA Region5,0.72,0.107,0.05,5.40379131,5.5433883129999995,5.512821735
189,8001,1.492470023,west,2,FTA Region8,0.38,0.08,0.045,4.948983286,5.059334221,4.986785444
190,9015,2.062242298,west,1,FTA Region9,0.7,0.08,0.045,4.964356486000001,5.078808093,4.984515452
191,3083,0.654095484,south,0,FTA Region3,0.73,0.125,0.065,6.374641184,6.491045047,6.493946332999999
192,7006,1.373206216,midwest,0,FTA Region7,0.67,0.107,0.05,5.389191187000001,5.546565332,5.451870481
193,3094,-1.481519086,south,0,FTA Region3,0.73,0.125,0.065,6.362061905,6.481699159,6.468563911
194,3073,0.447114536,south,0,FTA Region3,0.73,0.125,0.065,6.352996497,6.467776317,6.498976158
195,3034,1.943459304,south,0,FTA Region3,0.68,0.125,0.065,6.363450141,6.477527696,6.455210011
196,3045,-1.218390791,south,0,FTA Region3,0.73,0.125,0.065,6.3664091979999995,6.488759251,6.464113755
