"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"nonRandomWindow"
"02/18/2020 19:37:20:702 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"88","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.986832996005","0.013167003993811655","138","193","2679","2910","9","58","58","8","4"
"89","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.993342384008","0.006657615995910859","181","204","2473","2744","8","56","56","15","3"
"91","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.94163038401","0.05836961598652435","173","178","2559","2815","2","57","57","14","1"
"90","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","70","5320.970785923993","0.029214075993096777","147","196","2581","2809","2","57","57","13","3"
"92","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","76","5320.975546688005","0.02445331199194989","176","168","2378","2651","4","69","69","7","3"
"93","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","71","5320.938095544014","0.061904455992628726","185","203","2462","2743","3","67","67","4","3"
"94","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","62","5320.972178879996","0.027821119992668564","214","226","2726","3038","2","58","58","4","3"
"95","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","77","5320.97291721601","0.027082783998158888","161","173","2436","2687","1","62","62","15","2"
"97","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.957030776003","0.042969223988177596","250","194","2501","2840","1","52","52","14","1"
"96","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","65","5320.938432416002","0.06156758399400131","171","195","2640","2910","8","59","59","6","1"
"98","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","58","5320.960606291994","0.039393707999590966","186","189","2676","2946","6","52","52","6","1"
"99","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","67","5320.986082336004","0.013917663996201757","211","203","2505","2818","2","63","63","4","1"
"100","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5321","1","true","false","true","true","true","false","true","false","1000","66","5320.983198040001","0.016801959995722093","144","205","2634","2864","4","58","58","8","5"
