"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"02/16/2020 18:08:08:071 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","limitedFund?","random-riskThresh?","random-orgWindows?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"110","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","30","2406.116908908","48","308","711","857","31","20","20","10","5"
"112","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","23","3078.6703771780008","69","291","960","1090","4","20","20","3","7"
"111","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","30","3004.1332494619996","114","264","848","1068","12","23","23","7","2"
"113","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","53","3029.505131940002","59","231","929","1074","0","42","42","11","10"
"114","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","23","3599.0275905180056","93","330","1044","1217","13","20","20","3","7"
"116","0.4","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","28","2289.1977179940027","72","282","750","878","2","16","16","12","2"
"115","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","32","2357.3962086240035","50","291","746","866","10","23","23","9","4"
"117","0.3","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","37","2590.422083624002","85","265","814","976","2","25","25","12","5"
"118","0.4","4","0.08","10","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","21","2928.1156032720046","65","317","935","1070","8","18","18","3","1"
"120","0.4","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","30","3534.795134393999","87","304","1074","1234","2","26","26","4","4"
"119","0.3","4","0.08","12","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","27","3462.9839897800025","108","265","1031","1204","4","25","25","2","6"
"121","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","false","false","true","true","1000","36","2520.9862343980053","90","276","722","892","1","28","28","8","10"
