"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"01/17/2020 16:30:59:252 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","b1","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"102","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0","1001","11","0","0","0","0","0","0","0","11","0"
"105","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0","1001","2","0","0","0","0","0","0","0","2","0"
"99","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"100","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","0.5","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"103","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0","1001","2","0","0","0","0","0","0","0","2","0"
"104","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0","1001","19","0","0","0","0","0","0","0","19","0"
"106","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.01","1001","20","0","0","0","0","0","0","0","20","0"
"101","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0","1001","17","0","0","0","0","0","0","0","17","0"
"107","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.01","1001","1","0","0","0","0","0","0","0","1","0"
"108","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.01","1001","4","0","0","0","0","0","0","0","4","0"
"109","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.01","1001","19","0","0","0","0","0","0","0","19","0"
"110","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"111","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"112","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"115","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.02","1001","7","0","0","0","0","0","0","0","7","0"
"114","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"117","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"113","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"116","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"120","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"119","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.03","1001","1","0","0","0","0","0","0","0","1","0"
"118","0.5","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","1","1","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"122","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0","1001","25","0","0","0","0","0","0","0","25","0"
