"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"network"
"02/18/2020 17:58:27:771 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"127","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","30","2419.814126472002","97","297","725","906","12","17","17","13","4"
"129","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","14","2804.0618737080003","97","280","774","954","22","13","13","1","3"
"130","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","true","1000","25","2584.066450072002","123","295","727","939","1","12","12","13","5"
"131","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","true","1000","18","2681.8234423479994","84","279","803","944","5","10","10","8","4"
"132","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","true","1000","24","2657.1625649199987","101","304","724","916","13","16","16","8","2"
"133","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","false","1000","14","2525.085025243998","77","324","736","892","27","6","6","8","2"
"135","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","3","48","0.3","0.3","0.03","true","false","true","false","1000","23","2474.3995142340063","67","276","765","885","11","11","11","12","2"
"134","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","2","48","0.3","0.3","0.03","true","false","true","false","1000","14","2719.8903274540016","89","310","768","951","28","10","10","4","3"
"137","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","1","48","0.3","0.3","0.03","true","false","true","true","1000","19","2729.7619569720023","93","287","778","955","14","16","16","3","6"
"136","0.3","4","0.08","8","0.25","0.4","6.5","2","1000","4","48","0.3","0.3","0.03","true","false","true","false","1000","6","2981.3792360880025","76","344","833","1019","56","5","5","1","1"
