"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayMemory"
"05/17/2020 16:14:21:455 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","randomChance","startingFund","openWindows?","changeAspiration?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgWindows?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows","totalOrgWindows"
"56","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","48","0.3","0.3","0.036","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","59","7462.9408586519985","267","346","13415","19678","7","46","46","13","0","19375"
"92","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","2","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","145","7462.973810472015","999","363","234","5139","9","131","131","14","2","4787"
"91","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","2","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","154","5217.624136104013","103","369","27","872","3","96","96","58","7","503"
"86","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","6","0.3","0.3","0.06","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","35","7462.939433964003","22","355","9006","11251","0","22","22","13","0","10914"
"90","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","1","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","136","7462.953546252008","745","350","145","3027","6","112","112","24","5","2681"
"71","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","48","0.3","0.3","0.048","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","26","7462.970893676","4","336","1919","2268","5","11","11","15","3","1934"
"64","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","48","0.3","0.3","0.042","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","47","7462.952621360009","147","342","14944","19859","1","35","35","12","0","19557"
"97","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","1","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","126","3839.078686252005","83","307","57","622","4","76","76","50","20","315"
"93","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.01","6","0.3","0.3","0","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","143","7462.3924494520015","304","364","55","1490","5","109","109","34","12","1128"
"98","0.4","4","0.08","10","0.25","0.4","4","4","1000","1","0.1","1","0.3","0.3","0.006","5.0E-4","7463","true","false","true","true","true","false","true","true","false","1000","136","7462.78797051601","531","353","238","2911","10","107","107","29","8","2559"
