"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayAndWindow"
"06/08/2020 21:33:03:644 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","orgOptGen","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"99","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","33","17387.60048062394","12606","2782","2077","140","15","433","98","817","9","19","19","14","0","1970","10"
"97","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.024","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","40","17103.847387927945","12606","2764","1927","194","6","472","142","801","5","23","23","17","0","1970","18"
"101","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.003","12606","true","true","true","true","true","false","true","""diffused""","false","1000","62","17540.850329491906","12606","2804","1677","235","13","749","79","839","2","51","51","11","0","1970","49"
"102","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.006","12606","true","true","true","true","true","false","true","""diffused""","false","1000","60","16767.520590159926","12606","2660","1561","211","11","766","69","697","2","42","42","18","0","1970","40"
"98","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.027","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","44","16983.540197619954","12606","2728","1892","115","6","626","73","762","6","16","16","28","0","1970","10"
"94","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.015","12606","true","true","true","true","true","false","true","""concentrated""","false","1000","63","17068.966099843892","12606","2738","1593","130","7","906","64","775","14","38","38","25","0","1970","24"
"106","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.018","12606","true","true","true","true","true","false","true","""diffused""","false","1000","63","16771.28134489993","12606","2711","1685","98","5","826","52","749","7","45","45","18","0","1970","38"
"108","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.024","12606","true","true","true","true","true","false","true","""diffused""","false","1000","43","17128.581351771925","12606","2756","1958","144","5","545","75","794","4","29","29","14","0","1970","25"
"107","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.021","12606","true","true","true","true","true","false","true","""diffused""","false","1000","49","16880.87941164793","12606","2760","1855","118","8","677","72","796","6","30","30","19","0","1970","24"
"100","0.6","4","10","0.3","4","4","1000","1","48","0.3","0","12606","true","true","true","true","true","false","true","""diffused""","false","1000","84","17129.8999384879","12606","2746","1191","442","12","942","89","782","1","70","70","14","0","1970","69"
"105","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.015","12606","true","true","true","true","true","false","true","""diffused""","false","1000","63","17398.831126327936","12606","2777","1612","130","7","926","62","816","5","40","40","23","0","1970","35"
"104","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.012","12606","true","true","true","true","true","false","true","""diffused""","false","1000","55","17041.17750953192","12606","2757","1786","188","10","660","72","793","6","41","41","14","0","1970","35"
"110","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","12606","true","true","true","true","true","false","true","""diffused""","false","1000","53","17066.802471967905","12606","2744","1718","130","11","769","85","782","5","31","31","22","0","1970","26"
