"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"randomChance"
"06/11/2020 23:14:01:552 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","startingFund","randomChance","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOptOpen","totalLackMotivation","totalInsufBoost","totalNoSolution","totalAlreadyAdapted","totalNonEligibleDisasterOpt","totalDisasterOpts","totalUtilizedDisasterOpts","totalUtilizedOpts","totalNeededOpts","sufficientCap","totalUtilized","totalOrgOpts","totalUtilizedOrgOpt"
"91","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","2.0E-4","true","true","true","true","false","true","true","false","1000","49","5801.3108110160065","4850.68918898403","884","75","77","5","519","194","842","11","14","14","35","0","42","3"
"92","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","3.0E-4","true","true","true","true","false","true","true","false","1000","44","5774.048057791996","4877.951942208026","845","108","81","4","434","204","787","13","14","14","30","0","58","1"
"90","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","1.0E-4","true","true","true","true","false","true","true","false","1000","41","5540.286234568007","5111.713765432017","836","76","88","7","412","245","802","7","8","8","33","0","34","1"
"88","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","0.001","true","true","true","true","false","true","true","false","1000","40","6001.663570012001","4650.336429988033","901","162","77","10","413","227","793","11","12","12","28","0","109","1"
"93","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","4.0E-4","true","true","true","true","false","true","true","false","1000","37","5502.582731024001","5149.417268976026","846","81","99","5","416","235","784","10","10","10","27","0","62","0"
"107","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","56","5931.7200188959905","4720.279981104028","925","136","51","2","526","194","843","13","16","16","40","0","82","3"
"96","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","7.0E-4","true","true","true","true","false","true","true","false","1000","50","5801.043118296008","4850.956881704019","868","106","54","15","511","167","783","14","15","15","35","0","85","1"
"94","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","5.0E-4","true","true","true","true","false","true","true","false","1000","46","5777.956655199995","4874.0433448000285","904","103","90","6","468","225","837","11","12","12","34","0","67","1"
"98","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","9.0E-4","true","true","true","true","false","true","true","false","1000","46","5787.710750911998","4864.289249088035","887","147","82","4","457","186","797","9","11","11","35","0","90","2"
"95","0.3","4","10","0.3","5.5","4","1000","1","48","0.3","0.03","10652","6.0E-4","true","true","true","true","false","true","true","false","1000","44","5614.292864824","5037.707135176036","865","110","97","3","406","241","794","7","8","8","36","0","71","1"
