"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"adaptation"
"01/17/2020 15:20:21:738 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"172","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","1","0","0","0","0","0","0","0","1","0"
"174","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"171","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"177","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"182","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"179","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","0","0","0","0","0","0","0","0","0","0"
"183","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","4","0","0","0","0","0","0","0","4","0"
"188","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","8","0","0","0","0","0","0","0","8","0"
"181","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","12","0","0","0","0","0","0","0","12","0"
"180","0.8","4","0.08","10","0.25","0.4","6.5","2","1000","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"190","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","2","0","0","0","0","0","0","0","2","0"
"184","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","6","0","0","0","0","0","0","0","6","0"
"185","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0","1001","3","0","0","0","0","0","0","0","3","0"
"187","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.01","1001","3","0","0","0","0","0","0","0","3","0"
"192","0.8","4","0.08","10","0.25","0.4","6.5","4","1000","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
