"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayMemory"
"06/10/2020 21:56:16:729 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding"
"138","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.98628503196"
"140","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","10658.986628047958"
"134","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.03","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","51","10658.946427335977"
"104","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.006","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","81","10658.97360999197"
"145","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","35","7906.940440551996"
"142","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","10658.961419519961"
"141","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.036","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","10658.016205827978"
"146","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","52","10658.959980223972"
"147","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","8505.334344019993"
"148","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","37","10658.95149475199"
"111","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","78","10657.849988619982"
"112","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.012","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","78","10658.946891683981"
"154","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","47","10658.959933463982"
"153","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","35","7832.563862892005"
"149","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","33","10658.962890087972"
