"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"02/02/2020 00:02:46:083 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"138","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.3","0","true","false","true","1001","32","70","325","20","325","35","14","14","18","14"
"89","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","1","0","true","true","true","1001","51","241","298","9","298","7","41","41","10","41"
"85","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","24","1","0.6","0.02","true","true","true","1001","31","118","327","103","327","6","16","16","15","16"
"140","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.3","0.01","true","false","true","1001","23","62","313","24","313","24","16","16","7","16"
"142","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.3","0.02","true","false","true","1001","22","54","307","91","307","12","17","17","5","17"
"144","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.3","0.03","true","false","true","1001","13","20","344","249","344","6","6","6","7","6"
"146","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.6","0","true","false","true","1001","32","136","312","20","312","32","24","24","8","24"
"148","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.6","0.01","true","false","true","1001","35","155","317","30","317","16","24","24","11","24"
"150","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.6","0.02","true","false","true","1001","13","95","282","109","282","13","7","7","6","7"
"97","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0","true","true","true","1001","24","0","288","0","288","3","0","0","24","0"
"152","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0.6","0.03","true","false","true","1001","17","34","338","266","338","2","8","8","9","8"
