"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 23:18:36:796 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","reduceWindows","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"77","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","true","999","69","5299.980543704004","0.01945629600186871","74","225","1540","1715","3","62","62","7","8"
"79","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","false","999","41","3314.1884139560034","1985.8115860439984","21","290","530","617","1","29","29","12","13"
"78","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","false","999","37","2291.6072124440016","3008.392787556005","17","281","346","440","0","20","20","17","12"
"82","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","false","999","56","5298.842747548011","1.1572524519866954","44","202","826","959","2","45","45","11","5"
"83","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","9","true","false","true","true","true","false","true","false","999","47","5299.942555976004","0.057444023993394655","66","212","963","1105","2","47","47","0","9"
"84","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","false","999","69","5299.949002655997","0.05099734400344458","49","224","1027","1177","2","57","57","12","9"
"81","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","false","999","54","4573.364834104003","726.6351658959956","44","261","708","853","1","44","44","10","7"
"87","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","9","true","false","true","true","true","false","true","false","999","67","5299.903658308003","0.0963416919905451","71","195","1365","1524","4","57","57","10","8"
"89","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","true","999","32","2835.0049326720045","2464.995067327998","15","293","387","485","8","24","24","8","8"
"85","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","false","999","60","5299.8236048640065","0.17639513600143664","58","208","1247","1383","2","50","50","10","4"
"90","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","true","999","31","3569.9618428800063","1730.0381571199964","28","260","509","616","5","29","29","2","9"
"86","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","false","999","64","5299.719838039998","0.28016195999890403","64","210","1221","1373","1","55","55","9","5"
"91","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","true","999","53","3863.5316636360017","1436.4683363639951","31","261","605","728","2","38","38","15","8"
"94","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","9","true","false","true","true","true","false","true","true","999","45","5299.723051316004","0.2769486839959141","76","247","1058","1224","2","45","45","0","7"
"96","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","7","9","true","false","true","true","true","false","true","true","999","63","5299.9595681120145","0.04043188798248476","26","222","1255","1369","3","53","53","10","6"
"92","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","true","999","53","4809.764689283996","490.23531071600195","48","239","739","874","1","45","45","8","5"
"95","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","true","999","73","5299.6281953960015","0.3718046039934446","35","193","1030","1151","1","58","58","15","5"
"93","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","true","999","57","5299.336948580008","0.6630514199867794","56","253","882","1036","3","48","48","9","6"
"97","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","true","999","64","5299.841200784004","0.15879921599393398","98","235","1325","1521","3","53","53","11","4"
"88","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","false","999","63","5299.968293448011","0.03170655199158112","123","212","1537","1745","1","52","52","11","7"
"99","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","10","9","true","false","true","true","true","false","true","true","999","62","5299.970658911999","0.029341087996415105","52","206","1627","1753","0","51","51","11","4"
"104","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","4","9","true","false","true","true","true","false","true","false","999","56","4905.375836559997","394.6241634399943","34","212","794","912","2","43","43","13","9"
"100","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","0","9","true","false","true","true","true","false","true","false","999","29","2703.4063994000035","2596.5936005999997","21","292","344","467","12","22","22","7","11"
"103","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","3","9","true","false","true","true","true","false","true","false","999","53","4433.153652012007","866.8463479879939","49","238","697","830","1","42","42","11","9"
"98","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","9","true","false","true","true","true","false","true","true","999","60","5299.803204876003","0.19679512399736243","43","200","1507","1631","1","53","53","7","5"
"101","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","1","9","true","false","true","true","true","false","true","false","999","44","3458.6503653920036","1841.3496346079985","23","291","510","631","5","40","40","4","15"
"105","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","5","9","true","false","true","true","true","false","true","false","999","51","5299.626187840002","0.37381215998944395","57","236","1015","1165","6","47","47","4","3"
"109","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","9","9","true","false","true","true","true","false","true","false","999","48","5299.992074480007","0.00792551999450719","89","219","1514","1689","13","44","44","4","5"
"102","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","2","9","true","false","true","true","true","false","true","false","999","55","4228.096980120003","1071.9030198799949","33","258","590","726","4","42","42","13","10"
"106","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","6","9","true","false","true","true","true","false","true","false","999","58","5299.989325508","0.010674492002620717","53","229","1087","1230","6","51","51","7","5"
"108","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5300","8","9","true","false","true","true","true","false","true","false","999","63","5299.973267351998","0.026732647990779235","80","196","1237","1410","1","53","53","10","3"
