"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"increaseChance"
"02/16/2020 00:28:45:655 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"72","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","36","1461.9995664537607","237","280","1977","2291","5","32","32","4","4"
"73","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","54","1330.5881566335595","235","209","2292","2605","2","40","40","14","1"
"74","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","34","2735.1988071115584","480","251","3014","3604","16","29","29","5","1"
"75","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","38","2654.7993279309717","477","250","3584","4137","2","26","26","12","1"
"80","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","41","4099.419462216948","830","248","6182","7087","6","33","33","8","1"
"83","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","31","2385.1965031268396","366","269","2488","2956","11","27","27","4","2"
"81","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","52","2156.8671904803286","374","239","2803","3366","102","45","45","7","3"
"82","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","36","1467.9168327664217","265","291","1888","2238","2","23","23","13","1"
"79","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","42","5092.60242236618","890","258","5376","6378","12","41","41","1","0"
"84","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","41","2328.0969935819735","399","277","2871","3369","9","34","34","7","2"
"85","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","33","3316.190745904917","539","248","3607","4218","7","30","30","3","2"
"87","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","33","5078.094557769919","873","262","4553","5518","5","29","29","4","2"
"88","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","3.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","44","3058.397934763139","636","232","4898","5619","4","28","28","16","0"
"86","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","39","2772.243259275696","508","259","4070","4673","2","35","35","4","0"
"93","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","49","1618.090945984173","252","247","2325","2658","2","41","41","8","4"
"89","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","27","5046.79114455086","893","273","5933","6926","15","27","27","0","0"
"91","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","47","2272.033376406179","373","265","2511","3093","112","40","40","7","1"
"90","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","4.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","39","4066.2295135293625","775","252","6222","7088","6","32","32","7","0"
"94","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","1.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","45","2317.161611446918","387","251","2821","3290","1","29","29","16","3"
"95","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.01","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","32","3882.2470139761253","634","268","3606","4351","32","27","27","5","1"
"102","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","47","1268.2763047048509","197","235","1798","2067","3","35","35","12","4"
"92","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","0.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","17","2008.626140335591","290","304","2110","2518","50","16","16","1","3"
"96","0.3","4","0.08","8","0.25","0.4","6.5","1.7","1000","1","2.51","48","0.3","0.3","0.03","true","false","true","true","true","false","1001","35","3671.4231876300314","624","248","4070","4784","3","31","31","4","2"
