"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"limitedFund"
"02/18/2020 17:54:36:893 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","startingFund","increaseChance","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"93","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","4500","0.01","true","false","true","true","true","false","true","false","1000","69","4499.936876992001","0.06312300799412052","96","182","1337","1523","6","56","56","13","3"
"98","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","0.01","true","false","true","true","true","false","true","false","1000","69","5499.947461171995","0.05253882799538179","72","198","1391","1554","1","63","63","6","8"
"90","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","9.01","true","false","true","true","true","false","true","false","1000","88","5499.952927800002","0.04707219999284451","974","139","9953","11035","4","79","79","9","0"
"106","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","5500","1.01","true","false","true","true","true","false","true","false","1000","71","5499.970769880006","0.02923011999416536","201","199","2424","2718","2","62","62","9","4"
"96","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5000","0.01","true","false","true","true","true","false","true","false","1000","60","4999.971702460004","0.028297539996916754","99","202","1460","1640","3","48","48","12","5"
"101","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","4500","1.01","true","false","true","true","true","false","true","false","1000","64","4499.998059711998","0.0019402880007133305","208","211","2616","2921","1","59","59","5","5"
"109","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","24","0.3","0.3","0.03","4500","2.01","true","false","true","true","true","false","true","false","1000","69","4499.9971025680015","0.002897431997928912","232","182","3608","3926","1","61","61","8","1"
"99","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","72","0.3","0.3","0.03","5500","0.01","true","false","true","true","true","false","true","false","1000","55","5499.94278316801","0.05721683199178784","101","218","1475","1673","3","52","52","3","5"
"104","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5000","1.01","true","false","true","true","true","false","true","false","1000","60","4999.968356560005","0.031643439991682065","240","214","2638","2980","11","54","54","6","2"
"107","0.3","4","0.08","10","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","5500","1.01","true","false","true","true","true","false","true","false","1000","55","5499.979224411994","0.020775587995809808","196","200","2825","3100","5","47","47","8","3"
