"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","run_id","run_duration"
"110",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,132,28,78,311,229,322,0,15,15,13,3,18.2209455966949
"111",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,123,15,76,266,287,391,17,11,11,4,5,15.1824288368225
"112",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,130,42,71,303,248,344,1,24,24,18,20,14.9709117412567
"113",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,132,29,80,317,272,376,4,20,20,9,22,24.9094521999359
"114",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,139,24,70,251,291,389,9,19,19,5,24,19.4402441978455
"115",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,135,18,80,287,269,385,21,15,15,3,13,17.8718807697296
"116",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,136,35,79,290,239,351,5,28,28,7,2,13.4698348045349
"117",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,133,24,66,294,258,347,9,14,14,10,17,14.1489732265472
"118",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,123,17,120,285,270,417,11,16,16,1,19,11.4764311313629
"119",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,140,22,70,279,242,336,7,17,17,5,21,13.1162390708923
"120",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,130,31,81,270,242,348,4,21,21,10,23,15.7747073173523
"121",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,128,15,83,282,250,361,16,12,12,3,25,15.5289852619171
"122",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,139,37,73,267,275,374,0,26,26,11,14,19.2824454307556
"123",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,135,24,71,281,252,358,17,18,18,6,16,17.7925670146942
"124",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,133,35,67,255,254,351,4,26,26,9,18,18.03817486763
"125",0.4,4,4.75539069366641,0.08,0.25,0.4,6.5,2.5,1000,1,5,136,22,66,280,266,359,11,16,16,6,15,12.451562166214
"126",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,126,13,75,262,207,297,4,11,11,2,7,38.7383387088776
"127",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,146,10,72,270,223,319,15,9,9,1,9,27.7761270999908
"128",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,139,14,64,289,198,283,12,9,9,5,11,18.2044486999512
"129",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,127,22,53,271,185,257,4,15,15,7,5,7.99702668190002
"130",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,129,12,59,266,192,272,11,10,10,2,2,15.1110451221466
"131",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,127,29,51,266,178,243,1,13,13,16,4,22.5470597743988
"132",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,147,11,61,282,204,286,11,10,10,1,6,21.2665593624115
"133",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,155,13,75,268,194,297,17,11,11,2,8,19.0985345840454
"134",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,139,17,66,230,217,298,5,10,10,7,10,14.8118510246277
"135",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,126,20,51,269,210,283,11,11,11,9,12,15.8248362541199
"136",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,125,19,69,277,188,282,9,16,16,3,1,14.8167088031769
"137",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,130,34,49,267,162,235,3,21,21,13,3,15.2183215618134
"138",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,156,29,68,270,179,271,3,21,21,8,18,15.0223202705383
"139",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,135,17,51,290,205,284,14,14,14,3,20,16.385400056839
"140",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,134,11,66,287,221,306,10,9,9,2,22,16.6168668270111
"141",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,129,13,81,257,177,275,7,10,10,3,24,14.2129056453705
"142",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,136,5,53,304,197,272,17,5,5,0,13,16.4261519908905
"143",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,132,22,68,294,183,269,4,14,14,8,15,9.53243637084961
"144",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,133,15,58,291,197,272,6,11,11,4,17,44.7018563747406
"145",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,136,23,64,277,186,271,6,15,15,8,19,33.6055729389191
"146",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,136,19,53,281,206,278,7,12,12,7,21,21.298805475235
"147",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,137,20,60,287,173,257,10,14,14,6,23,13.1106231212616
"148",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,138,18,67,295,197,285,7,14,14,4,25,18.1258282661438
"149",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,132,14,51,286,205,275,9,10,10,4,14,28.8641242980957
"150",0.4,4,3.62759042205289,0.08,0.25,0.4,6.5,2.5,1000,1,6,132,18,53,295,206,275,7,9,9,9,16,23.2779288291931
"151",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,125,18,38,311,149,204,5,12,12,6,3,16.818455696106
