"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"numWindows"
"02/18/2020 00:38:57:572 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","officeRole?","random-riskThresh?","random-orgWindows?","limitedFund?","randomBoost?","limitedFund?","[step]","count orgs with [adaptation-change?]","totalFunding","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"100","0.3","4","0.08","17","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","44","8027.724377548014","146","261","1307","1560","13","37","37","7","5"
"99","0.3","4","0.08","16","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","38","7954.158657927996","119","281","1211","1423","14","34","34","4","9"
"102","0.3","4","0.08","19","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","59","7606.102768872012","73","239","1295","1435","4","42","42","17","7"
"103","0.3","4","0.08","20","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","60","6907.625712751996","108","212","1100","1311","13","49","49","11","11"
"104","0.3","4","0.08","21","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","50","9708.028942471989","180","253","1489","1771","10","42","42","8","4"
"105","0.3","4","0.08","22","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","47","10387.570781175975","141","227","1609","1835","9","43","43","4","4"
"106","0.3","4","0.08","23","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","54","9495.343097651996","171","228","1574","1826","0","42","42","12","1"
"107","0.3","4","0.08","24","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","55","10725.537293087982","117","217","1694","1892","10","42","42","13","5"
"108","0.3","4","0.08","25","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","53","10174.134466291958","108","205","1615","1841","34","43","43","10","3"
"109","0.3","4","0.08","26","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","47","10504.65359423199","115","249","1713","1913","2","38","38","9","3"
"110","0.3","4","0.08","27","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","63","9414.829811611977","161","230","1605","1855","2","48","48","15","7"
"113","0.3","4","0.08","30","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","53","12931.230869495947","172","246","2126","2388","1","46","46","7","3"
"112","0.3","4","0.08","29","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","55","12106.643861711964","174","237","1973","2226","3","43","43","12","3"
"111","0.3","4","0.08","28","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","54","11334.52567773997","98","240","1895","2072","1","44","44","10","5"
"114","0.3","4","0.08","31","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","53","13340.15063553596","173","240","2162","2420","6","43","43","10","3"
"116","0.3","4","0.08","33","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","68","12429.427094844","128","232","1932","2157","4","56","56","12","4"
"115","0.3","4","0.08","32","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","48","14555.461448923974","207","251","2423","2730","11","46","46","2","5"
"117","0.3","4","0.08","34","0.25","0.4","4","4","1000","1","48","0.3","0.3","0.03","true","false","true","true","true","true","false","true","false","1000","56","14311.66503431595","188","253","2336","2625","7","48","48","8","5"
